T,ENC,IMU,Lag,ENC_RAW
2,0.00,0.01,397.1,275
8,0.00,-0.01,187.4,275
15,0.00,-0.00,4.8,275
19,0.00,-0.00,3.7,275
23,0.00,-0.00,5.3,275
26,0.00,-0.00,4.0,275
30,0.00,-0.00,5.2,275
33,0.00,-0.00,3.7,275
38,0.00,-0.00,5.2,275
41,0.00,-0.00,5.7,275
44,0.00,-0.00,4.5,275
48,0.00,-0.00,3.0,275
51,0.00,-0.00,4.2,275
55,0.00,-0.00,5.0,275
58,0.00,-0.00,5.7,275
61,0.00,-0.00,6.1,275
65,0.00,-0.00,4.9,275
68,0.00,-0.00,3.4,275
72,0.00,-0.00,4.8,275
75,0.00,-0.00,3.0,275
79,0.00,-0.00,2.8,275
82,0.00,-0.00,5.0,275
85,0.00,-0.00,2.4,275
126,0.00,-0.00,41.4,275
130,0.00,-0.00,7.4,275
139,0.00,-0.00,10.8,275
142,0.00,-0.00,3.0,275
146,0.00,-0.00,3.7,275
149,0.00,-0.00,4.0,275
165,0.00,-0.00,2.8,275
169,0.00,-0.00,4.5,275
174,0.00,-0.00,4.5,275
178,0.00,-0.00,6.1,275
181,0.00,-0.00,5.9,275
185,0.00,-0.00,5.2,275
188,0.00,0.01,3.6,275
192,0.00,0.01,5.0,275
195,0.00,0.01,3.6,275
199,0.00,0.01,4.6,275
202,0.00,0.01,5.5,275
206,0.00,0.01,4.1,275
210,0.00,0.01,5.3,275
213,0.00,0.01,3.2,275
217,0.00,0.01,5.0,275
220,0.00,0.01,3.6,275
227,0.00,0.01,7.6,275
230,0.00,0.01,3.4,275
235,0.00,0.01,4.4,275
238,0.00,0.01,3.1,275
242,0.00,0.01,5.0,275
245,0.00,0.01,5.7,275
248,0.00,0.01,4.3,275
252,0.00,0.01,5.3,275
256,0.00,0.01,3.9,275
259,0.00,0.01,5.0,275
263,0.00,0.01,3.4,275
266,0.00,0.01,4.4,275
270,0.00,0.01,3.0,275
274,0.00,0.01,3.7,275
277,0.00,0.01,5.2,275
280,0.00,0.01,3.7,275
284,0.00,0.01,4.8,275
287,0.00,0.01,3.4,275
291,0.00,0.01,4.4,275
295,0.00,0.01,5.3,275
298,0.00,0.01,3.8,275
302,0.00,0.01,5.0,275
305,0.00,0.01,3.4,275
309,0.00,0.01,3.9,275
312,0.00,0.01,5.5,275
316,0.00,0.01,4.1,275
319,0.00,0.01,5.0,275
323,0.00,0.01,3.6,275
327,0.00,0.01,5.3,275
330,0.00,0.01,3.7,275
335,0.00,0.01,6.3,275
338,0.00,0.01,3.8,275
342,0.00,0.01,5.0,275
345,0.00,0.01,3.6,275
349,0.00,0.01,4.6,275
352,0.00,0.01,3.2,275
356,0.00,0.01,4.2,275
359,0.00,0.01,5.2,275
363,0.00,0.01,3.8,275
367,0.00,0.01,5.3,275
370,0.00,0.01,4.4,275
374,0.00,0.01,4.6,275
377,0.00,0.01,5.3,275
380,0.00,0.01,6.3,275
384,0.00,0.01,4.7,275
387,0.00,0.01,3.0,275
391,0.00,0.01,4.8,275
397,0.00,0.01,8.5,275
401,0.00,0.01,4.2,275
405,0.00,0.01,5.9,275
408,0.00,0.01,4.4,275
412,0.00,0.01,3.2,275
416,0.00,0.01,4.4,275
419,0.00,0.01,5.3,275
423,0.00,0.01,3.8,275
426,0.00,0.01,5.0,275
430,0.00,0.01,3.4,275
434,0.00,0.01,5.2,275
438,0.00,0.01,6.5,275
441,0.00,0.01,4.5,275
445,0.00,0.01,5.5,275
448,0.00,0.01,4.1,275
452,0.00,0.01,5.3,275
455,0.00,0.01,3.2,275
459,0.00,0.01,5.0,275
462,0.00,0.01,3.6,275
466,0.00,0.01,4.6,275
469,0.00,0.01,3.2,275
474,0.00,0.01,4.8,275
477,0.00,0.01,3.2,275
481,0.00,0.01,5.0,275
485,0.00,0.01,3.5,275
488,0.00,0.01,4.6,275
492,0.00,0.01,3.2,275
496,0.00,0.01,3.9,275
499,0.00,0.01,5.2,275
502,0.00,0.01,3.6,275
506,0.00,0.01,4.6,275
509,0.00,0.01,3.2,275
513,0.00,0.01,4.2,275
516,0.00,0.01,5.2,275
520,0.00,0.01,3.6,275
523,0.00,0.01,4.8,275
527,0.00,0.01,3.0,275
531,0.00,0.01,4.4,275
534,0.00,0.01,5.3,275
537,0.00,0.01,3.9,275
542,0.00,0.01,5.3,275
545,0.00,0.01,3.7,275
549,0.00,0.01,5.3,275
552,0.00,0.01,3.7,275
556,0.00,0.01,5.0,275
559,0.00,0.01,3.4,275
566,0.00,0.01,7.6,275
569,0.00,0.01,2.7,275
574,0.00,0.01,5.0,275
577,0.00,0.01,5.9,275
580,0.00,0.01,6.8,275
584,0.00,0.01,5.4,275
587,0.00,0.01,4.1,275
591,0.00,0.01,5.2,275
595,0.00,0.01,3.6,275
598,0.00,0.01,4.8,275
602,0.00,0.01,3.4,275
605,0.00,0.01,4.4,275
609,0.00,0.01,5.3,275
612,0.00,0.01,3.8,275
616,0.00,0.01,5.2,275
620,0.00,0.01,5.9,275
623,0.00,0.01,4.7,275
627,0.00,0.01,5.7,275
630,0.00,0.01,4.3,275
634,0.00,0.01,5.3,275
637,0.00,0.01,4.0,275
641,0.00,0.01,5.0,275
644,0.00,0.01,3.4,275
648,0.00,0.01,4.8,275
652,0.00,0.01,3.4,275
656,0.00,0.01,5.0,275
659,0.00,0.01,5.9,275
663,0.00,0.01,4.3,275
666,0.00,0.01,2.8,275
670,0.00,0.01,4.2,275
673,0.00,0.01,2.7,275
677,0.00,0.01,3.3,275
681,0.00,0.01,4.6,275
684,0.00,0.01,3.0,275
688,0.00,0.01,4.4,275
691,0.00,0.01,5.2,275
694,0.00,0.01,3.8,275
698,0.00,0.01,4.8,275
701,0.00,0.01,3.2,275
705,0.00,0.01,3.9,275
709,0.00,0.01,5.3,275
712,0.00,0.01,3.8,275
716,0.00,0.01,5.4,275
719,0.00,0.01,4.6,275
723,0.00,0.01,4.4,275
726,0.00,0.01,3.0,275
730,0.00,0.01,4.1,275
771,0.00,0.01,43.0,275
775,0.00,0.01,8.7,275
784,0.00,0.01,10.5,275
788,0.00,0.01,5.2,275
792,0.00,0.01,5.5,275
795,0.00,0.01,4.7,275
799,0.00,0.01,5.7,275
803,0.00,0.01,4.9,275
807,0.00,0.01,3.3,275
811,0.00,0.01,5.3,275
814,0.00,0.01,3.9,275
818,0.00,0.01,3.9,275
821,0.00,0.01,3.4,275
825,0.00,0.01,4.4,275
828,0.00,0.01,3.0,275
832,0.00,0.01,3.5,275
835,0.00,0.01,5.0,275
839,0.00,0.01,3.2,275
843,0.00,0.01,4.6,275
846,0.00,0.01,5.3,275
849,0.00,0.01,3.9,275
853,0.00,0.01,5.0,275
856,0.00,0.01,3.6,275
860,0.00,0.01,4.6,275
864,0.00,0.01,5.7,275
867,0.00,0.01,4.3,275
871,0.00,0.01,5.3,275
874,0.00,0.01,3.9,275
878,0.00,0.01,4.8,275
881,0.00,0.01,3.4,275
885,0.00,0.01,4.4,275
888,0.00,0.01,3.0,275
892,0.00,0.01,6.3,275
895,0.00,0.01,4.7,275
899,0.00,0.01,5.5,275
902,0.00,0.01,4.3,275
906,0.00,0.01,5.5,275
909,0.00,0.01,4.1,275
913,0.00,0.01,5.0,275
916,0.00,0.01,3.8,275
920,0.00,0.01,5.0,275
923,0.00,0.01,3.2,275
927,0.00,0.01,3.7,275
931,0.00,0.01,5.3,275
934,0.00,0.01,3.8,275
938,0.00,0.01,4.8,275
943,0.00,0.01,7.7,275
947,0.00,0.01,4.0,275
951,0.00,0.01,3.6,275
955,0.00,0.01,5.0,275
958,0.00,0.01,5.7,275
962,0.00,0.01,4.1,275
966,0.00,0.01,6.2,275
969,0.00,0.01,3.8,275
973,0.00,0.01,5.2,275
976,0.00,0.01,3.8,275
980,0.00,0.01,5.0,275
983,0.00,0.01,3.4,275
987,0.00,0.01,4.6,275
991,0.00,0.01,3.2,275
994,0.00,0.01,4.2,275
998,0.00,0.01,5.2,275
1001,0.00,0.01,3.6,275
1005,0.00,0.01,4.6,275
1008,0.00,0.01,3.0,275
1012,0.00,0.01,4.4,275
1015,0.00,0.01,5.2,275
1018,0.00,0.01,3.6,275
1023,0.00,0.01,5.3,275
1026,0.00,0.01,3.7,275
1030,0.00,0.01,4.8,275
1033,0.00,0.01,5.9,275
1037,0.00,0.01,4.1,275
1040,0.00,0.01,5.3,275
1044,0.00,0.01,3.8,275
1048,0.00,0.01,6.0,275
1051,0.00,0.01,3.6,275
