T,ENC,IMU,Lag,ENC_RAW
3,0.00,0.10,4.1,275
6,0.00,0.10,4.1,275
10,0.00,0.10,4.8,275
13,0.00,0.10,2.8,275
17,0.00,0.10,4.6,275
20,0.00,0.10,5.4,275
24,0.00,0.10,6.1,275
27,0.00,0.10,4.9,275
31,0.00,0.10,3.6,275
35,0.00,0.10,4.8,275
38,0.00,0.10,3.2,275
42,0.00,0.10,4.4,275
45,0.00,0.10,5.2,275
48,0.00,0.10,3.8,275
53,0.00,0.10,5.3,275
56,0.00,0.10,3.8,275
60,0.00,0.10,5.3,275
63,0.00,0.10,5.7,275
67,0.00,0.10,4.5,275
71,0.00,0.10,3.4,275
74,0.00,0.10,4.8,275
78,0.00,0.10,3.0,275
82,0.00,0.10,2.3,275
85,0.00,0.10,3.3,275
126,0.00,0.10,41.7,275
130,0.00,0.10,7.5,275
139,0.00,0.10,11.0,275
142,0.00,0.10,2.8,275
147,0.00,0.10,4.8,275
150,0.00,0.10,3.2,275
154,0.00,0.10,4.4,275
157,0.00,0.10,3.0,275
161,0.00,0.10,4.1,275
164,0.00,0.10,5.0,275
168,0.00,0.10,3.0,275
172,0.00,0.10,4.6,275
175,0.00,0.10,2.6,275
179,0.00,0.10,4.4,275
182,0.00,0.10,3.9,275
185,0.00,0.09,3.5,275
189,0.00,0.09,4.4,275
192,0.00,0.09,5.3,275
196,0.00,0.09,4.8,275
199,0.00,0.09,5.0,275
203,0.00,0.09,3.4,275
207,0.00,0.09,5.2,275
210,0.00,0.09,3.8,275
217,0.00,0.09,7.2,275
221,0.00,0.09,4.1,275
225,0.00,0.09,3.2,275
229,0.00,0.09,4.4,275
232,0.00,0.09,3.0,275
236,0.00,0.09,3.7,275
239,0.00,0.09,5.0,275
243,0.00,0.09,5.0,275
246,0.00,0.09,4.4,275
249,0.00,0.09,5.2,275
254,0.00,0.09,4.5,275
258,0.00,0.09,3.4,275
261,0.00,0.09,4.6,275
265,0.00,0.09,5.7,275
268,0.00,0.09,4.1,275
272,0.00,0.09,5.3,275
275,0.00,0.09,3.2,275
279,0.00,0.09,4.8,275
283,0.00,0.09,4.4,275
286,0.00,0.09,4.4,275
290,0.00,0.09,5.5,275
294,0.00,0.09,4.5,275
297,0.00,0.09,3.2,275
301,0.00,0.09,4.6,275
304,0.00,0.09,2.8,275
308,0.00,0.09,4.2,275
312,0.00,0.09,5.0,275
315,0.00,0.09,3.4,275
319,0.00,0.09,4.6,275
322,0.00,0.09,3.2,275
326,0.00,0.09,4.2,275
329,0.00,0.09,5.3,275
333,0.00,0.09,3.6,275
336,0.00,0.09,4.8,275
340,0.00,0.09,5.7,275
343,0.00,0.09,4.1,275
347,0.00,0.09,5.2,275
350,0.00,0.09,3.8,275
355,0.00,0.09,5.5,275
358,0.00,0.09,4.1,275
362,0.00,0.09,5.0,275
365,0.00,0.09,3.8,275
369,0.00,0.09,5.3,275
373,0.00,0.09,3.8,275
376,0.00,0.09,4.8,275
380,0.00,0.09,5.7,275
383,0.00,0.09,4.3,275
389,0.00,0.09,7.3,275
393,0.00,0.09,4.1,275
397,0.00,0.09,2.8,275
401,0.00,0.09,4.6,275
404,0.00,0.09,3.0,275
408,0.00,0.09,3.5,275
411,0.00,0.09,5.2,275
415,0.00,0.09,3.6,275
419,0.00,0.09,5.3,275
423,0.00,0.09,3.9,275
427,0.00,0.09,3.9,275
430,0.00,0.09,3.7,275
434,0.00,0.09,4.8,275
437,0.00,0.09,3.0,275
441,0.00,0.09,4.4,275
444,0.00,0.09,2.9,275
448,0.00,0.09,4.1,275
451,0.00,0.09,5.0,275
455,0.00,0.09,3.4,275
458,0.00,0.09,4.6,275
462,0.00,0.09,3.0,275
466,0.00,0.09,3.5,275
469,0.00,0.09,5.2,275
472,0.00,0.09,3.8,275
477,0.00,0.09,6.1,275
480,0.00,0.09,3.9,275
484,0.00,0.09,5.5,275
488,0.00,0.09,4.1,275
492,0.00,0.09,5.5,275
496,0.00,0.09,4.6,275
500,0.00,0.09,4.3,275
503,0.00,0.09,4.6,275
507,0.00,0.09,5.3,275
510,0.00,0.09,3.8,275
514,0.00,0.09,5.2,275
517,0.00,0.09,3.1,275
521,0.00,0.09,4.8,275
524,0.00,0.09,3.4,275
528,0.00,0.09,4.4,275
531,0.00,0.09,2.8,275
535,0.00,0.09,4.1,275
538,0.00,0.09,5.0,275
542,0.00,0.09,3.2,275
546,0.00,0.09,3.7,275
549,0.00,0.09,5.3,275
552,0.00,0.09,3.2,275
559,0.00,0.09,8.0,275
562,0.00,0.09,3.7,275
567,0.00,0.09,3.0,275
570,0.00,0.09,4.4,275
574,0.00,0.09,5.2,275
577,0.00,0.09,3.8,275
581,0.00,0.09,4.8,275
584,0.00,0.09,5.7,275
588,0.00,0.09,4.1,275
591,0.00,0.09,5.5,275
595,0.00,0.09,3.8,275
599,0.00,0.09,5.3,275
602,0.00,0.09,3.9,275
605,0.00,0.09,4.7,275
609,0.00,0.09,3.4,275
613,0.00,0.09,3.9,275
616,0.00,0.09,5.3,275
620,0.00,0.09,4.1,275
624,0.00,0.09,5.2,275
627,0.00,0.09,3.6,275
631,0.00,0.09,5.2,275
634,0.00,0.09,3.6,275
639,0.00,0.09,5.3,275
642,0.00,0.09,5.9,275
645,0.00,0.09,4.5,275
649,0.00,0.09,3.4,275
653,0.00,0.09,3.9,275
656,0.00,0.09,3.0,275
660,0.00,0.09,3.5,275
676,0.00,0.09,18.2,275
679,0.00,0.09,3.2,275
685,0.00,0.09,4.1,275
689,0.00,0.09,5.9,275
692,0.00,0.09,4.3,275
696,0.00,0.09,5.5,275
700,0.00,0.09,6.4,275
703,0.00,0.09,5.7,275
706,0.00,0.09,3.2,275
711,0.00,0.09,5.6,275
714,0.00,0.09,3.2,275
718,0.00,0.09,5.0,275
722,0.00,0.09,5.9,275
725,0.00,0.09,4.3,275
729,0.00,0.09,3.0,275
733,0.00,0.09,4.4,275
736,0.00,0.09,2.8,275
740,0.00,0.09,3.7,275
784,0.00,0.09,46.0,275
788,0.00,0.09,11.7,275
797,0.00,0.09,10.8,275
801,0.00,0.09,3.9,275
804,0.00,0.09,3.5,275
807,0.00,0.09,4.4,275
811,0.00,0.09,5.2,275
814,0.00,0.09,3.8,275
818,0.00,0.09,4.8,275
821,0.00,0.09,4.8,275
825,0.00,0.09,4.7,275
829,0.00,0.09,3.3,275
833,0.00,0.09,5.2,275
837,0.00,0.09,3.8,275
840,0.00,0.09,3.9,275
844,0.00,0.09,3.4,275
848,0.00,0.09,5.6,275
851,0.00,0.09,3.0,275
855,0.00,0.09,3.7,275
858,0.00,0.09,5.2,275
861,0.00,0.09,4.6,275
865,0.00,0.09,4.4,275
868,0.00,0.09,5.4,275
873,0.00,0.09,5.7,275
876,0.00,0.09,3.4,275
880,0.00,0.09,4.8,275
883,0.00,0.09,5.5,275
887,0.00,0.09,4.1,275
891,0.00,0.09,5.2,275
894,0.00,0.09,3.2,275
898,0.00,0.09,4.8,275
901,0.00,0.09,3.3,275
905,0.00,0.09,4.6,275
908,0.00,0.09,3.0,275
912,0.00,0.09,4.4,275
915,0.00,0.09,5.2,275
919,0.00,0.09,3.6,275
922,0.00,0.09,4.8,275
926,0.00,0.09,3.2,275
930,0.00,0.09,4.4,275
933,0.00,0.09,5.5,275
936,0.00,0.09,3.8,275
940,0.00,0.09,5.0,275
943,0.00,0.09,3.2,275
947,0.00,0.09,4.6,275
951,0.00,0.09,3.2,275
957,0.00,0.09,7.2,275
961,0.00,0.09,6.4,275
964,0.00,0.09,4.3,275
968,0.00,0.09,5.7,275
972,0.00,0.09,4.3,275
975,0.00,0.09,5.3,275
979,0.00,0.09,3.9,275
983,0.00,0.09,5.0,275
986,0.00,0.09,3.6,275
990,0.00,0.09,4.6,275
993,0.00,0.09,3.2,275
997,0.00,0.09,4.2,275
1000,0.00,0.09,5.3,275
1004,0.00,0.09,3.8,275
1008,0.00,0.09,5.3,275
1011,0.00,0.09,3.9,275
1015,0.00,0.09,5.3,275
1019,0.00,0.09,3.9,275
1022,0.00,0.09,5.0,275
1026,0.00,0.09,3.4,275
1030,0.00,0.09,4.4,275
1033,0.00,0.09,3.2,275
1037,0.00,0.09,4.2,275
1040,0.00,0.09,5.3,275
1043,0.00,0.09,4.0,275
1048,0.00,0.09,5.5,275
1051,0.00,0.09,4.3,275
1055,0.00,0.09,5.3,275
1059,0.00,0.09,3.9,275
1062,0.00,0.09,5.0,275
1066,0.00,0.09,3.6,275
1070,0.00,0.09,4.6,275
1073,0.00,0.09,3.0,275
1077,0.00,0.09,4.4,275
1080,0.00,0.09,5.2,275
1083,0.00,0.09,3.0,275
1087,0.00,0.09,4.8,275
1090,0.00,0.09,3.4,275
1095,0.00,0.09,5.0,275
1098,0.00,0.09,3.6,275
1102,0.00,0.09,4.6,275
1105,0.00,0.09,3.2,275
1109,0.00,0.09,4.2,275
1112,0.00,0.09,2.8,275
1116,0.00,0.09,4.1,275
1122,0.00,0.09,7.0,275
1126,0.00,0.09,6.2,275
1130,0.00,0.09,5.6,275
1135,0.00,0.09,5.0,275
1139,0.00,0.09,4.1,275
1143,0.00,0.09,5.3,275
1146,0.00,0.09,4.1,275
1150,0.00,0.09,5.5,275
1153,0.00,0.09,3.7,275
1157,0.00,0.09,5.2,275
1161,0.00,0.09,3.6,275
1164,0.00,0.09,4.8,275
1168,0.00,0.09,3.4,275
1172,0.00,0.09,4.4,275
1175,0.00,0.09,3.0,275
1179,0.00,0.09,4.2,275
1182,0.00,0.09,5.0,275
1185,0.00,0.09,3.3,275
1190,0.00,0.09,5.3,275
1193,0.00,0.09,3.8,275
1197,0.00,0.09,4.8,275
1200,0.00,0.09,3.2,275
1204,0.00,0.09,4.4,275
1207,0.00,0.09,5.3,275
1211,0.00,0.09,5.5,275
1214,0.00,0.09,4.7,275
1218,0.00,0.09,3.4,275
1222,0.00,0.09,4.4,275
1225,0.00,0.09,3.2,275
1230,0.00,0.09,6.2,275
1233,0.00,0.09,3.4,275
1237,0.00,0.09,4.6,275
1240,0.00,0.09,5.5,275
1243,0.00,0.09,4.1,275
1247,0.00,0.09,5.0,275
1250,0.00,0.09,3.0,275
1254,0.00,0.09,4.6,275
1258,0.00,0.09,2.8,275
1261,0.00,0.09,4.6,275
1265,0.00,0.09,2.8,275
